bond_angle,eps,n_clusters,min_e_clusters_silhouette_score,min_z_score*,minimum_energy,min_energy_cluster_rmsd,min_energy_avg_intermedoid_rmsd,noise_cluster,rmse_helix,rmse_cyl,min_medoid
100.0,0.12142857142857144,4,0.04953568185851652,0.2373791913489736,-16.70338881353164,0.011995527557156972,0.17413677275180817,True,8.896530239226914,44.638980739620365,medoid_1
102.0,0.07857142857142857,51,0.6202485570498582,0.11084072380962982,-17.022313856934073,0.014324752406938255,0.14711971580982208,True,8.932396145403038,46.3221734981021,medoid_14
104.0,0.05,54,0.880823989038727,0.050513243192867235,-17.082769019519954,0.015009232973548304,0.0744788721203804,True,9.036103552803736,47.78798558992928,medoid_24
106.0,0.05,64,0.8421548477519485,0.07127357467624437,-17.218908086734707,0.013253476197214896,0.09821265190839767,True,9.24059718370042,58.175135658170944,medoid_22
108.0,0.05,58,0.8584396918625197,0.0257917215621048,-17.252982630110587,0.012164783052158089,0.13922621309757233,True,9.79475532403964,48.811462985169904,medoid_47
110.0,0.05,54,0.6371270900279388,0.0801408885745053,-18.653969992521596,0.02515429457746244,0.08096393942832947,True,3.413367436344764,31.82253824918079,medoid_7
112.0,0.05,59,0.45527516879938246,0.028751633825093745,-19.488404925795106,0.03039500859693755,0.08444353193044662,True,0.6517492490948641,1.885755477962281,medoid_19
114.0,0.05,72,0.8164992341997184,0.05548005705221958,-18.80728424801358,0.017417409669677208,0.13755670189857483,True,6.596108976461507,30.957379662284666,medoid_2
116.0,0.0642857142857143,70,0.6688223674695863,0.2704531985158351,-19.04917269032759,0.025479355700030428,0.11301638931035995,True,5.368537350498297,11.020615787297782,medoid_15
118.0,0.05,59,0.5537866564858926,0.19190909274236134,-19.78197790509017,0.04480104135027207,0.08870293200016022,True,2.5413959868217435,6.842903710051374,medoid_33
120.0,0.12142857142857144,11,0.6774433825173092,2.6971017280548324,-21.002056644447336,0.061347763757194945,0.16729754209518433,True,0.4896591111775531,1.2500673970398535,medoid_1
122.0,0.13571428571428573,5,0.6893594299802928,0.22765192923223346,-20.980830276824015,0.06140806972762185,0.16099613904953003,False,0.9065153022105576,1.5556930607072337,medoid_2
124.0,0.0642857142857143,57,0.6140672188703333,0.18524218529670877,-20.214482455120432,0.016925296587169916,0.12579859793186188,True,4.249570417295369,42.6997412159003,medoid_29
126.0,0.13571428571428573,3,0.685171270381737,2.1383335692224317,-20.21651914270404,0.0921042336254015,0.22672221064567566,False,4.5141971928810385,40.544949639457506,medoid_1
128.0,0.13571428571428573,3,0.81551636456876,1.8021492910936556,-20.509863687659102,0.047727398750907785,0.209729865193367,False,3.359905350362419,0.6238996366555624,medoid_1
130.0,0.13571428571428573,4,0.7359018612303001,1.527171009954074,-18.699373956933577,0.07963192784987508,0.21333029866218567,False,8.013681029722607,50.18820409637487,medoid_1
132.0,0.05,59,0.7254624966815115,0.01729552788704654,-17.725460897788242,0.01854014992701993,0.1502101868391037,True,10.932630232031958,22.878931097175837,medoid_55
134.0,0.05,64,0.6657543172731664,0.013008627403426986,-16.80308439237878,0.020879289220407583,0.08364801108837128,True,11.088236038152868,36.06277578111001,medoid_11
136.0,0.12142857142857144,3,0.49549346114351583,0.6764938758661235,-15.40535010759246,0.1094645013109698,0.2011009156703949,False,14.352497199117323,48.98820031982748,medoid_1
138.0,0.09285714285714286,4,0.3456945622538762,0.0795960133414891,-14.985796961173394,0.1143729454416534,0.19802768528461456,False,12.71284944217404,63.6759007639153,medoid_1
140.0,0.05,45,0.7307670667056223,0.2796090765722371,-15.132500277787548,0.020069886119180185,0.07960871607065201,True,12.667658711780762,70.93158089808975,medoid_7
142.0,0.05,37,0.7920877966794947,0.2929069845336218,-14.337222285641264,0.018617964621165065,0.07369764149188995,True,12.232622489666191,65.94366745598725,medoid_3
144.0,0.05,33,0.8347521659827436,0.3641273731778415,-13.42673772123645,0.016068486437770584,0.08921603858470917,True,13.633398705221532,62.39736064092001,medoid_22
146.0,0.05,44,0.737674470742595,0.10571198841297819,-12.135088803492563,0.01768985129388436,0.07444728165864944,True,13.832576734982839,4.927647074234837,medoid_14
148.0,0.05,28,0.7478380739042116,0.1149837573243593,-10.915252918872914,0.01426453538107084,0.07405763864517212,True,13.005244685303925,60.7943071958522,medoid_15
150.0,0.09285714285714286,4,0.8425967617638412,1.7065659556501458,-9.428735548170451,0.013922104615025147,0.13028916716575623,True,18.615908856527973,44.87544778842258,medoid_2
152.0,-,-,-,-,-,-,-,-,-,-,-
154.0,-,-,-,-,-,-,-,-,-,-,-
156.0,-,-,-,-,-,-,-,-,-,-,-
158.0,-,-,-,-,-,-,-,-,-,-,-
160.0,0.0642857142857143,5,0.19601194289499776,0.006455982686411536,-6.038442368207998,0.07478990260787817,0.07308294624090195,True,1.412109239312245,2.453532560528669,medoid_0
