sc_size,eps,min_samples,n_clusters,avg_silhouette_score,min_z_score*,minimum_energy,min_energy_cluster_rmsd,min_energy_min_intermedoid_rmsd,min_cluster_sampling,noise_cluster,rmse_helix,rmse_cyl,residues_per_turn,min_medoid
100.0,0.075,350,7,0.5636784936258744,0.29669005357152584,-17.669210883374557,0.07459487578203167,0.10774476081132889,57,True,0.02751011379868238,0.050348624920296674,3.6155003023975336,medoid_3
102.0,0.075,350,13,0.7030073132262472,0.04501559812410625,-17.48576448793186,0.017157791864531213,0.15625399351119995,7,True,0.7087753095624698,3.035196053230481,11.091977953614412,medoid_11
104.0,0.075,350,4,0.8219441885198262,0.08952097568771061,-17.618920620345875,0.02284714272815434,0.1872442662715912,7,True,6.304973605030088,31.780556635455522,10.750858823391598,medoid_3
106.0,0.075,350,11,0.7963276332826016,0.13011470924485322,-17.732685660340152,0.05607037764232883,0.1273394078016281,5,True,7.311853590556367,31.319585840282777,0.9515163563782042,medoid_5
108.0,0.075,350,9,0.7934076337020027,0.17797395082556372,-17.77989335596941,0.022859436888819303,0.17359285056591034,11,True,5.742253142931699,22.286281683431085,0.19594807936012268,medoid_5
110.0,0.075,350,10,0.7221471476802286,0.9960033024925473,-19.238507122068885,0.08105698319299301,0.1927923560142517,35,True,0.2634578411638684,0.33616214987601384,4.546257683538908,medoid_2
112.0,0.075,300,11,0.6009199174986535,1.0285649413532674,-20.21142828890573,0.0823132221181814,0.1838315725326538,59,True,0.21444082183714733,0.42878767934159945,4.664842424734327,medoid_1
114.0,0.075,350,8,0.6493368678377228,0.9042275139814159,-19.353898100807005,0.04880410369258342,0.1813357025384903,13,True,6.32976394921563,25.105645867305345,4.860089766980748,medoid_6
116.0,0.075,350,11,0.6753274779003203,0.09424126498279228,-19.683215950160772,0.05594878287380482,0.11308292299509048,20,True,3.310168254959194,3.389623539401628,5.281138036758767,medoid_6
118.0,0.075,350,9,0.4379395137183205,0.030536266098325687,-20.683450643892826,0.10444688247066265,0.12610676884651184,65,True,2.358570251856193,2.133479429866176,5.314148642161882,medoid_3
120.0,0.075,350,8,0.6549939101191226,2.9927505108578227,-22.09305585577177,0.061276518856675774,0.2065642923116684,45,True,0.369678336454911,0.3772783167741988,5.540774583261565,medoid_0
122.0,0.1,350,4,0.5094636838440815,1.4514104355494202,-22.057603958284165,0.07214875114029855,0.20957091450691223,61,True,0.0261437438655431,0.03202564824815991,5.755698860259577,medoid_3
124.0,0.075,350,5,0.5153364611098342,0.017334873870828327,-20.789633938342984,0.0857498781267326,0.22064195573329926,36,True,1.023250408856494,0.7191699553683614,5.885174256851039,medoid_3
126.0,0.075,350,5,0.5400422676136812,1.7576440540135458,-21.41365329512365,0.07614350038875013,0.22851623594760895,20,True,2.3013304077454846,1.788078740189374,6.417114730337969,medoid_2
128.0,0.075,350,4,0.5991983287892718,2.134164838384006,-21.414574971144415,0.04787043397748756,0.21894009411334991,6,True,0.3322826848435007,0.2638385035258446,6.552063907717136,medoid_2
130.0,0.1,350,5,0.4975272645470546,0.9721150287805647,-19.372855706695916,0.08205412971772061,0.21291373670101166,21,True,3.3789887063226023,1.0281466748991783,7.384711802842477,medoid_0
132.0,0.1,100,3,0.51055759775542,0.894962428041591,-18.21530929232808,0.13345537756517567,0.18399091064929962,100,True,13.180367408390977,13.804238836975198,1.1067971845535565,medoid_0
134.0,0.1,250,3,0.37574071743427895,0.3290294613861862,-17.48960304265768,0.11957974939319821,0.2066792994737625,100,True,10.555113612159284,14.950823748165407,0.5081888426339362,medoid_0
136.0,0.1,150,3,0.46506081010898387,0.03404177518787772,-16.957020769520938,0.11907968003357702,0.16408444941043854,100,True,11.290303582884981,6.767876868964806,1.749955726079761,medoid_1
138.0,0.075,300,3,0.36215059109132935,0.0008746865120804712,-16.566522160051683,0.1151503044451122,0.12666502594947815,100,True,10.608199695487672,5.130713191417687,1.771192307152967,medoid_1
140.0,0.075,250,3,0.3520052222540079,0.03689869499634274,-15.95296540533384,0.11307682786827034,0.1896488219499588,100,True,11.604579212223973,5.082437607510268,0.2897508887107335,medoid_1
142.0,0.1,200,3,0.4424750954067054,0.01465791840490668,-15.069486847281759,0.10547887434886206,0.14206570386886597,100,True,9.718843260292843,2.6869007270503653,14.09260980625761,medoid_0
144.0,0.125,150,3,0.706225805185288,5.220844352614593,-14.035376067930786,0.13623414258933983,0.3910062313079834,100,True,5.588501011516137,2.6430867768305415,11.992195873878773,medoid_0
146.0,0.075,100,3,0.35855757932819265,1.2990356314916114,-12.802067120460364,0.11037629193655728,0.16363416612148285,95,True,9.730620204268742,7.570876799882559,15.779353117199001,medoid_1
148.0,0.1,350,3,0.646268485129843,5.137952557168491,-11.394598809655161,0.13929478455727817,0.37439441680908203,84,True,3.940321301982544,2.254336192462937,13.914793489575027,medoid_0
150.0,0.1,150,3,0.4270208290989792,5.88664411045174,-9.814850363765094,0.018159021933195747,0.14825068414211273,3,True,14.26026122037808,0.9158017298426425,0.2898680773372176,medoid_2
152.0,-,-,-,-,-,-,-,-,-,-,-,-
154.0,-,-,-,-,-,-,-,-,-,-,-,-
156.0,-,-,-,-,-,-,-,-,-,-,-,-
158.0,-,-,-,-,-,-,-,-,-,-,-,-
160.0,-,-,-,-,-,-,-,-,-,-,-,-
