sc_size,eps,min_samples,n_clusters,avg_silhouette_score,min_z_score*,minimum_energy,min_energy_cluster_rmsd,min_energy_min_intermedoid_rmsd,min_cluster_sampling,noise_cluster,rmse_helix,rmse_cyl,min_medoid
0.5,0.07500000000000001,300,3,0.5852993675983216,0.2700715203379118,-13.116955252059308,0.05377642871861945,0.13593676686286926,19,True,9.38465735095175,27.66410902145312,1.3536087138803103,medoid_2
0.75,0.07500000000000001,350,4,0.43849712038140887,0.23694771495696565,-17.804301294303695,0.06552428679671356,0.12048634141683578,11,True,9.273736489602287,9.433180375187316,0.16809143639139665,medoid_0
1.0,0.07500000000000001,300,3,0.7067709693851059,0.0021003384076316856,-17.804301294303695,0.046001660517899785,0.15882433950901031,4,True,11.732909542870452,15.805472958975555,0.7928592036305206,medoid_0
1.25,0.07500000000000001,350,5,0.7612563023140151,3.975900836586854,-21.16647057146983,0.06462567159193681,0.21129095554351807,30,True,0.3312257943176804,0.11947416138083312,5.5387993135361775,medoid_0
1.5,0.125,350,3,0.5546302369430893,2.2839021526081815,-17.648959600830715,0.10723519888380667,0.2285953015089035,58,True,0.6339139324541029,0.6906603245778613,5.439944515587208,medoid_1
1.75,0.1,350,4,0.6667669981937667,0.9437692994005198,-14.64063884157692,0.07674908918293889,0.22736530005931854,54,True,0.4288426555256091,0.8504256322441025,4.708729264939409,medoid_0
2.0,0.175,300,3,0.5046640216724004,1.5550443592433876,-11.13943330080226,0.10915721213120615,0.24921852350234985,68,True,0.4720033448621426,0.26121891284978005,4.64202450906267,medoid_2
2.25,0.2,50,3,0.6788200794663802,3.2406339152616956,-1.40613212482174,0.08503777887331807,0.2703758478164673,48,True,0.5226175428271537,0.1909773502222997,4.608805148405701,medoid_0
2.5,0.125,350,7,0.7596665278080619,0.6692188482434065,17.374859840237814,0.007993183594265171,0.19518586993217468,7,True,2.779343754860293,16.249538034678622,0.5826196207096664,medoid_3
2.75,0.2,300,5,0.6559449944305545,0.18983464864576163,43.27613983974758,0.07381822071031681,0.21285642683506012,30,True,2.5225175939479363,15.697784985558314,0.2868792285752398,medoid_0
3.0,0.15000000000000002,350,7,0.8009762958259948,0.22322105397271896,79.62577798067632,0.05749091939183395,0.22389854490756989,33,True,2.536923652061946,15.505528686593676,0.2860819730542342,medoid_3
3.25,0.175,300,3,0.24181696122217283,0.2172907872617333,-6.580929009141274,0.19979611982929085,0.2302764654159546,44,True,0.7231920634066484,1.3849450321036787,2.58274524269283,medoid_0
3.5,0.2,350,5,0.3640139141499421,0.06257926576656536,-7.316144117465202,0.222230461721373,0.34500548243522644,39,True,0.49719965272435884,1.7440628137838166,2.540092481343577,medoid_0
3.75,0.2,350,7,0.41307130170622125,0.07730970787361718,-7.465838609191184,0.11882371972971541,0.377777099609375,17,True,5.872359701047751,18.385267849026693,0.4355188034710381,medoid_3
4.0,0.22500000000000003,350,4,0.2671785424277573,0.1539672175633043,-6.164403329286164,0.24355175600013262,0.28345006704330444,24,True,3.31136277291658,10.134586129167847,0.526110709333324,medoid_0
